weekstart,weekend,weeknum
44851,44857,1
44858,44864,2
44865,44871,3
44872,44878,4
44879,44885,5
44886,44892,6
44893,44899,7
44900,44906,8
44907,44913,9
44914,44920,10
44921,44927,11
44928,44934,12
44935,44941,13
44942,44948,14
44949,44955,15
44956,44962,16
44963,44969,17
44970,44990,18
44991,44997,19
44998,45004,20
45005,45011,21
45012,45018,22
45019,45025,23
