DISPLAY_FIRST_LAST,PERSON_ID,TEAM_NAME
Damyean Dotson,1628422,Cavaliers
Devon Dotson,1629653,Bulls
Sekou Doumbouya,1629635,Pistons
Jeff Dowtin,1630288,
P.J. Dozier,1628408,Nuggets
Goran Dragic,201609,Heat
Andre Drummond,203083,Lakers
Chris Duarte,1630537,
Jared Dudley,201162,Lakers
David Duke Jr.,1630561,
Kris Dunn,1627739,Hawks
Kevin Durant,201142,Nets
Jalen Duren,1631105,
Anthony Duruji,1631347,
Tari Eason,1631106,
Jaime Echenique,1630693,
Anthony Edwards,1630162,Timberwolves
Carsen Edwards,1629035,Celtics
Kessler Edwards,1630556,
Rob Edwards,1630306,
CJ Elleby,1629604,Trail Blazers
Henry Ellenson,1627740,
Wayne Ellington,201961,Pistons
Keon Ellis,1631165,
Malik Ellison,1630707,
Joel Embiid,203954,76ers
James Ennis III,203516,Magic
Tyson Etienne,1630623,
Drew Eubanks,1629234,Spurs
Dante Exum,203957,Rockets
Tacko Fall,1629605,Celtics
Derrick Favors,202324,Jazz
Cristiano Felicio,1626245,Bulls
Terrance Ferguson,1628390,
Bruno Fernando,1628981,Hawks
Yogi Ferrell,1627812,Clippers
Dorian Finney-Smith,1627827,Mavericks
Malik Fitts,1630238,
Malachi Flynn,1630201,Raptors
Simone Fontecchio,1631323,
Bryn Forbes,1627854,Bucks
Aleem Ford,1630758,
Trent Forrest,1630235,Jazz
Michael Foster Jr.,1630701,
Evan Fournier,203095,Celtics
De'Aaron Fox,1628368,Kings
Robert Franks,1629606,
Tim Frazier,204025,Grizzlies
Melvin Frazier Jr.,1628982,
Enes Freedom,202683,Trail Blazers
Javon Freeman-Liberty,1631241,
Markelle Fultz,1628365,Magic
Wenyen Gabriel,1629117,Pelicans
Daniel Gafford,1629655,Wizards
Danilo Gallinari,201568,Hawks
Langston Galloway,204038,Suns
Darius Garland,1629636,Cavaliers
Marcus Garrett,1630585,
Usman Garuba,1630586,
Luka Garza,1630568,
Marc Gasol,201188,Lakers
Rudy Gay,200752,Spurs
Paul George,202331,Clippers
Taj Gibson,201959,Knicks
Josh Giddey,1630581,
Harry Giles III,1628385,Trail Blazers
Shai Gilgeous-Alexander,1628983,Thunder
Anthony Gill,1630264,Wizards
Collin Gillespie,1631221,
Freddie Gillespie,1630273,Raptors
Jacob Gilyard,1631367,
Rudy Gobert,203497,Jazz
Grant Golden,1631371,
Brandon Goodwin,1629164,Hawks
Jordan Goodwin,1630692,
Aaron Gordon,203932,Nuggets
Eric Gordon,201569,Rockets
Kellan Grady,1631242,
Devonte' Graham,1628984,Hornets
Jerami Grant,203924,Pistons
Hassani Gravett,1629755,
RaiQuan Gray,1630564,
A.J. Green,1631260,
Danny Green,201980,76ers
Draymond Green,203110,Warriors
JaMychal Green,203210,Nuggets
Jalen Green,1630224,
Javonte Green,1629750,Bulls
Jeff Green,201145,Nets
Josh Green,1630182,Mavericks
AJ Griffin,1631100,
Blake Griffin,201933,Nets
Quentin Grimes,1629656,
Mouhamadou Gueye,1631338,
Kyle Guy,1629657,Kings
Rui Hachimura,1629060,Wizards
Ashton Hagans,1630204,
Tyrese Haliburton,1630169,Kings
Donta Hall,1629743,
Jordan Hall,1631160,
Josh Hall,1630221,Thunder
Tyler Hall,1629788,
R.J. Hampton,1630181,Magic
Tim Hardaway Jr.,203501,Mavericks
James Harden,201935,Nets
Jaden Hardy,1630702,
Maurice Harkless,203090,Kings
Jared Harper,1629607,Knicks
Ron Harper Jr.,1631199,
Montrezl Harrell,1626149,Lakers
Gary Harris,203914,Magic
Jalen Harris,1630223,
Joe Harris,203925,Nets
Kevon Harris,1630284,
Tobias Harris,202699,76ers
Shaquille Harrison,1627885,Nuggets
Josh Hart,1628404,Pelicans
Isaiah Hartenstein,1628392,Cavaliers
Udonis Haslem,2617,Heat
Sam Hauser,1630573,
Jaxson Hayes,1629637,Pelicans
Killian Hayes,1630165,Pistons
Gordon Hayward,202330,Hornets
Aaron Henry,1630565,
Juancho Hernangomez,1627823,Timberwolves
Willy Hernangomez,1626195,Pelicans
Tyler Herro,1629639,Heat
Buddy Hield,1627741,Kings
Haywood Highsmith,1629312,
George Hill,201588,76ers
Malcolm Hill,1630792,
Solomon Hill,203524,Hawks
Nate Hinton,1630207,Mavericks
Jaylen Hoard,1629658,Thunder
Aaron Holiday,1628988,Pacers
Jrue Holiday,201950,Bucks
Justin Holiday,203200,Pacers
Rondae Hollis-Jefferson,1626178,Trail Blazers
Richaun Holmes,1626158,Kings
Chet Holmgren,1631096,
Caleb Homesley,1630258,Wizards
Rodney Hood,203918,Raptors
Scotty Hopson,203816,
Al Horford,201143,Celtics
Talen Horton-Tucker,1629659,Lakers
Danuel House Jr.,1627863,Rockets
Caleb Houstan,1631216,
Dwight Howard,2730,76ers
Markus Howard,1630210,Nuggets
Trevor Hudgins,1631309,
Kevin Huerter,1628989,Hawks
Jay Huff,1630643,
Elijah Hughes,1630190,Jazz
Feron Hunt,1630624,
De'Andre Hunter,1629631,Hawks
Chandler Hutchison,1628990,Wizards
Bones Hyland,1630538,
Serge Ibaka,201586,Clippers
Andre Iguodala,2738,Heat
Ersan Ilyasova,101141,Jazz
Joe Ingles,204060,Jazz
Brandon Ingram,1627742,Pelicans
Kyrie Irving,202681,Nets
Jonathan Isaac,1628371,Magic
Jaden Ivey,1631093,
Wes Iwundu,1628411,Pelicans
Frank Jackson,1628402,Pistons
